,0,1
1228,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1229,Ich beginne ein neues Leben auf unbeſtimmte Zeit.,"{'entities': [(44, 48, 'MISC')]}"
1230,"Dazu muß ich frei und allein ſein, und darum löſe ich mich von der Vergangenheit los.",{'entities': []}
1231,Max.,"{'entities': [(0, 3, 'MISC')]}"
1232,Du haſt alſo eine neue Geliebte.,"{'entities': [(0, 12, 'MISC')]}"
1233,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1234,"Nein— ich habe nur vorläufig die alte nicht mehr… (raſch abbrechend und auf das Packet deutend)— bei Dir, mein lieber Freund, darf ich all’ dieſen Tand ruhen laſſen.","{'entities': [(0, 5, 'PER'), (80, 86, 'MISC'), (87, 96, 'MISC'), (101, 104, 'PER')]}"
1235,Max.,"{'entities': [(0, 3, 'MISC')]}"
1236,"Tand, ſagſt Du—!","{'entities': [(0, 4, 'PER')]}"
1237,Warum verbrennſt Du ihn nicht?,"{'entities': [(17, 19, 'LOC')]}"
1238,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1239,Ich kann nicht.,{'entities': []}
1240,Max.,"{'entities': [(0, 3, 'MISC')]}"
1241,Das iſt kindiſch.,{'entities': []}
1242,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1243,Oh nein: das iſt ſo meine Art von Treue.,{'entities': []}
1244,"Keine von Allen, die ich liebte, kann ich vergeſſen.",{'entities': []}
1245,"Wenn ich ſo in dieſen Blättern, Blumen, Locken wühle—","{'entities': [(47, 53, 'PER')]}"
1246,"Du mußt mir geſtatten, manchmal zu Dir zu kommen, nur um zu wühlen— dann bin ich wieder bei ihnen, dann leben ſie wieder, und ich bete ſie auf’s Neue an.",{'entities': []}
1247,Max.,"{'entities': [(0, 3, 'MISC')]}"
1248,Du willſt Dir alſo in meiner Behauſung ein Stelldichein mit alten Geliebten geben…? Anatol (kaum auf ihn hörend).,"{'entities': [(0, 38, 'MISC'), (81, 82, 'MISC'), (84, 90, 'MISC')]}"
1249,"Ich habe manchmal ſo eine Idee… Wenn es irgend ein Machtwort gäbe, daß Alle wieder erſcheinen müßten!","{'entities': [(30, 36, 'ORG')]}"
1250,Wenn ich ſie hervorzaubern könnte aus dem Nichts!,"{'entities': [(42, 49, 'ORG')]}"
1251,Max.,"{'entities': [(0, 3, 'MISC')]}"
1252,Dieſes Nichts wäre etwas verſchiedenartig.,"{'entities': [(0, 13, 'LOC')]}"
1253,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1254,"Ja, ja… denke Dir, ich ſpräche es aus, dieſes Wort… Max.","{'entities': [(6, 7, 'PER'), (52, 55, 'LOC')]}"
1255,Vielleicht findeſt Du ein wirkſames… zum Beiſpiel:,"{'entities': [(19, 21, 'PER')]}"
1256,Einzig Geliebte!,{'entities': []}
1257,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1258,Ich rufe alſo:,{'entities': []}
1259,Einzig Geliebte…! Und nun kommen ſie;,"{'entities': [(15, 17, 'ORG')]}"
1260,"die Eine aus irgend einem kleinen Häuschen in der Vorſtadt, die Andere aus dem prunkenden Salon ihres Herrn Gemahls— Eine aus der Garderobe ihres Theaters— Max.","{'entities': [(156, 159, 'MISC')]}"
1261,Mehrere!,{'entities': []}
1262,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1263,Mehrere— gut,{'entities': []}
1264,…,"{'entities': [(0, 1, 'MISC')]}"
1265,Eine aus dem Modiſtengeſchäft— Max.,"{'entities': [(13, 34, 'PER')]}"
1266,Eine aus den Armen eines neuen Geliebten— Anatol.,"{'entities': [(31, 48, 'MISC')]}"
1267,Eine aus dem Grabe…,"{'entities': [(13, 18, 'PER')]}"
1268,Eine von da—,{'entities': []}
1269,Eine von dort— und nun ſind ſie Alle da… Max. Sprich das Wort lieber nicht aus.,{'entities': []}
1270,Dieſe Verſammlung könnte ungemüthlich werden.,"{'entities': [(0, 17, 'LOC')]}"
1271,"Denn ſie haben vielleicht Alle aufgehört, Dich zu lieben— aber Keine, eiferſüchtig zu ſein.","{'entities': [(42, 46, 'LOC')]}"
1272,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1273,Sehr weiſe.,{'entities': []}
1274,.,{'entities': []}
1275,Ruhet alſo in Frieden.,"{'entities': [(0, 21, 'MISC')]}"
1276,Max.,"{'entities': [(0, 3, 'MISC')]}"
1277,Nun heißt es aber einen Platz für dieſes ſtattliche Päckchen zu finden.,{'entities': []}
1278,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1279,Du wirſt es vertheilen müſſen.,{'entities': []}
1280,(Reißt das Packet auf;,"{'entities': [(1, 6, 'LOC'), (11, 17, 'MISC')]}"
1281,"es liegen zierliche, durch Bänder zuſammengehaltene Päckchen zu Tage.)","{'entities': [(27, 33, 'PER')]}"
1282,Max,"{'entities': [(0, 3, 'PER')]}"
1283,.,{'entities': []}
1284,Ah!,{'entities': []}
1285,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1286,Es iſt Alles hübſch geordnet.,"{'entities': [(7, 12, 'PER')]}"
1287,Max.,"{'entities': [(0, 3, 'MISC')]}"
1288,Nach Namen?,{'entities': []}
1289,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1290,O nein.,"{'entities': [(0, 1, 'MISC')]}"
1291,"Jedes Päckchen trägt irgend eine Aufſchrift: einen Vers, ein Wort, eine Bemerkung, die mir das ganze Erlebniß in die Erinnerung zurückrufen.","{'entities': [(101, 109, 'LOC')]}"
1292,Niemands Namen— denn Marie oder Anna könnte ſchließlich Jede heißen.,"{'entities': [(0, 15, 'PER'), (21, 26, 'PER'), (32, 36, 'PER')]}"
1293,Max,"{'entities': [(0, 3, 'PER')]}"
1294,. Laß ſehen.,"{'entities': [(2, 5, 'PER')]}"
1295,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1296,Werde ich Euch Alle wieder kennen?,"{'entities': [(0, 34, 'MISC')]}"
1297,"Manches liegt jahrelang da, ohne daß ich es wieder angeſehen habe.","{'entities': [(0, 7, 'LOC')]}"
1298,"Max (eines der Päckchen in die Hand nehmend, die Aufſchrift leſend): „Du reizend Schöne, Holde, Wilde, Laß mich umſchlingen Deinen Leib;","{'entities': [(0, 3, 'LOC'), (70, 87, 'MISC')]}"
1299,"Ich küſſe Deinen Hals, Mathilde, Du wunderſames ſüßes Weib!","{'entities': [(0, 21, 'MISC')]}"
1300,“,"{'entities': [(0, 1, 'MISC')]}"
1301,…,"{'entities': [(0, 1, 'MISC')]}"
1302,Das iſt ja doch ein Name—?,"{'entities': [(20, 25, 'LOC')]}"
1303,Mathilde!,"{'entities': [(0, 9, 'ORG')]}"
1304,Anatol,"{'entities': [(0, 6, 'MISC')]}"
1305,.,{'entities': []}
1306,"Ja, Mathilde.","{'entities': [(4, 12, 'PER')]}"
1307,— Sie hieß aber anders.,{'entities': []}
1308,Immerhin habe ich ihren Hals geküßt.,{'entities': []}
1309,Max.,"{'entities': [(0, 3, 'MISC')]}"
1310,Wer war ſie?,{'entities': []}
1311,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1312,Frage das nicht.,{'entities': []}
1313,"Sie iſt in meinen Armen gelegen, das genügt.",{'entities': []}
1314,Max.,"{'entities': [(0, 3, 'MISC')]}"
1315,Alſo fort mit der Mathilde.,"{'entities': [(18, 26, 'PER')]}"
1316,—,{'entities': []}
1317,Uebrigens ein recht ſchmales Päckchen.,"{'entities': [(0, 9, 'LOC')]}"
1318,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1319,"Ja, es iſt nur eine Locke darin.",{'entities': []}
1320,Max,"{'entities': [(0, 3, 'PER')]}"
1321,. Gar keine Briefe?,"{'entities': [(2, 5, 'MISC')]}"
1322,Anatol Oh— von Der,"{'entities': [(0, 10, 'PER')]}"
1323,!,{'entities': []}
1324,Das hätte ihr die rieſigſte Mühe gemacht.,{'entities': []}
1325,"Wo kämen wir aber hin, wenn uns alle Weiber Briefe ſchrieben!",{'entities': []}
1326,Alſo weg mit der Mathilde.,"{'entities': [(17, 25, 'PER')]}"
1327,Max (wie oben).,"{'entities': [(0, 3, 'MISC')]}"
1328,„In einer Beziehung ſind alle Weiber gleich:,{'entities': []}
1329,"ſie werden impertinent, wenn man ſie auf einer Lüge ertappt.",{'entities': []}
1330,“ Anatol.,"{'entities': [(0, 8, 'MISC')]}"
1331,"Ja, das iſt wahr!",{'entities': []}
1332,Max.,"{'entities': [(0, 3, 'MISC')]}"
1333,Wer war Die?,{'entities': []}
1334,Ein gewichtiges Päckchen!,{'entities': []}
1335,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1336,Lauter acht Seiten lange Lügen!,"{'entities': [(0, 6, 'PER')]}"
1337,Weg damit.,{'entities': []}
1338,Max.,"{'entities': [(0, 3, 'MISC')]}"
1339,Und impertinent war ſie auch?,{'entities': []}
1340,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1341,Als ich ihr d’rauf kam.,{'entities': []}
1342,Weg mit ihr.,{'entities': []}
1343,Max.,"{'entities': [(0, 3, 'MISC')]}"
1344,Weg mit der impertinenten Lügnerin.,{'entities': []}
1345,Anatol,"{'entities': [(0, 6, 'MISC')]}"
1346,.,{'entities': []}
1347,Keine Beſchimpfungen.,"{'entities': [(6, 20, 'MISC')]}"
1348,Sie lag in meinen Armen;,{'entities': []}
1349,— ſie iſt heilig.,{'entities': []}
1350,Max.,"{'entities': [(0, 3, 'MISC')]}"
1351,Das iſt wenigſtens ein guter Grund.,{'entities': []}
1352,Alſo weiter.,"{'entities': [(0, 4, 'PER')]}"
1353,"(Wie oben:) „Um mir die böſe Laune wegzufächeln, Denk’ ich an Deinen Bräutigam, mein Kind.","{'entities': [(62, 78, 'ORG')]}"
1354,"Ja dann, mein ſüßer Schatz, dann muß ich lächeln, Weil’s Dinge giebt, die gar zu luſtig ſind.",{'entities': []}
1355,“ Anatol (lächelnd).,"{'entities': [(0, 8, 'MISC')]}"
1356,"Ach ja, das war ſie.",{'entities': []}
1357,Max.,"{'entities': [(0, 3, 'MISC')]}"
1358,"Ah,— was iſt denn da drin?",{'entities': []}
1359,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1360,Eine Photographie.,{'entities': []}
1361,Sie mit dem Bräutigam.,"{'entities': [(12, 21, 'PER')]}"
1362,Max.,"{'entities': [(0, 3, 'MISC')]}"
1363,Kannteſt Du ihn?,"{'entities': [(0, 11, 'ORG')]}"
1364,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1365,"Natürlich, ſonſt hätte ich ja nicht lächeln können.",{'entities': []}
1366,Er war ein Dummkopf.,{'entities': []}
1367,Max (ernſt).,"{'entities': [(0, 3, 'MISC')]}"
1368,Er iſt in ihren Armen gelegen;,{'entities': []}
1369,er iſt heilig.,{'entities': []}
1370,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1371,Genug.,"{'entities': [(0, 5, 'PER')]}"
1372,Max.,"{'entities': [(0, 3, 'MISC')]}"
1373,Weg mit dem luſtigen ſüßen Kind ſammt lächerlichem Bräutigam.,"{'entities': [(51, 60, 'MISC')]}"
1374,(Ein neues Päckchen nehmend).,{'entities': []}
1375,Was iſt das?,{'entities': []}
1376,Nur ein Wort?,{'entities': []}
1377,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1378,Welches denn?,"{'entities': [(0, 7, 'PER')]}"
1379,Max,"{'entities': [(0, 3, 'PER')]}"
1380,. „Ohrfeige.,"{'entities': [(3, 11, 'LOC')]}"
1381,“ Anatol.,"{'entities': [(0, 8, 'MISC')]}"
1382,"Oh, ich erinnere mich ſchon.","{'entities': [(0, 2, 'MISC')]}"
1383,Max.,"{'entities': [(0, 3, 'MISC')]}"
1384,Das war wohl der Schluß?,"{'entities': [(17, 23, 'LOC')]}"
1385,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1386,"Oh nein, der Anfang.",{'entities': []}
1387,Max.,"{'entities': [(0, 3, 'MISC')]}"
1388,Ach ſo!,{'entities': []}
1389,"Und hier… „Es iſt leichter, die Richtung einer Flamme zu verändern, als ſie zu entzünden.","{'entities': [(8, 9, 'PER')]}"
1390,—,{'entities': []}
1391,Was bedeutet das?,{'entities': []}
1392,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1393,"Nun, ich habe eben die Richtung der Flamme verändert: entzündet hat ſie ein Anderer.","{'entities': [(36, 42, 'LOC')]}"
1394,Max,"{'entities': [(0, 3, 'PER')]}"
1395,. Fort mit der Flamme…,{'entities': []}
1396,„Immer hat ſie ihr Brenneiſen mit.,"{'entities': [(19, 29, 'PER')]}"
1397,“ (Sieht Anatol fragend an.),"{'entities': [(9, 15, 'MISC')]}"
1398,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1399,Nun ja; ſie hatte eben immer ihr Brenneiſen mit— für alle Fälle.,{'entities': []}
1400,Aber ſie war ſehr hübſch.,{'entities': []}
1401,Uebrigens hab’ ich nur ein Stück Schleier von ihr.,"{'entities': [(0, 41, 'LOC')]}"
1402,Max.,"{'entities': [(0, 3, 'MISC')]}"
1403,"Ja, es fühlt ſich ſo an… (Weiter leſend:) „Wie hab’ ich Dich verloren?","{'entities': [(23, 24, 'PER'), (43, 60, 'MISC')]}"
1404,"“… Nun, wie haſt Du ſie verloren?","{'entities': [(17, 23, 'MISC')]}"
1405,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1406,Das weiß ich eben nicht.,{'entities': []}
1407,"Sie war fort,— plötzlich fort aus meinem Leben.",{'entities': []}
1408,"Ich verſichere Dich, das kommt manchmal vor.","{'entities': [(0, 19, 'MISC')]}"
1409,"Es iſt, wie wenn man irgendwo einen Regenſchirm ſtehen läßt und ſich erſt viele Tage ſpäter erinnert… Man weiß dann nicht mehr, wann und wo.","{'entities': [(48, 54, 'MISC'), (100, 101, 'PER')]}"
1410,"Max. Ade, verlorene.","{'entities': [(0, 3, 'PER'), (5, 8, 'PER')]}"
1411,(Wie oben.),{'entities': []}
1412,"Warſt ein ſüßes, liebes Ding—“ Anatol (träumeriſch fortfahrend).","{'entities': [(0, 5, 'LOC'), (24, 29, 'PER'), (31, 37, 'MISC')]}"
1413,„Mädel mit den zerſtochenen Fingern.,{'entities': []}
1414,“ Max.,"{'entities': [(0, 5, 'MISC')]}"
1415,Das war Cora— nicht?,"{'entities': [(8, 13, 'MISC')]}"
1416,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1417,Ja— Du haſt ſie ja gekannt.,"{'entities': [(0, 3, 'PER')]}"
1418,"Max. Weißt Du, was aus ihr geworden","{'entities': [(0, 3, 'MISC')]}"
1419,iſt?,{'entities': []}
1420,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1421,Ich habe ſie ſpäter wieder getroffen— als Gattin eines Tiſchlermeiſters.,"{'entities': [(27, 37, 'PER'), (55, 71, 'LOC')]}"
1422,Max,"{'entities': [(0, 3, 'PER')]}"
1423,. Wahrhaftig!,"{'entities': [(2, 13, 'ORG')]}"
1424,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1425,"Ja, ſo enden dieſe Mädel mit den zerſtochenen Fingern.","{'entities': [(46, 53, 'LOC')]}"
1426,In der Stadt werden ſie geliebt und in der Vorſtadt geheiratet…’s war ein Schatz!,"{'entities': [(7, 12, 'LOC'), (62, 63, 'PER')]}"
1427,Max.,"{'entities': [(0, 3, 'MISC')]}"
1428,Fahr’ wohl—!,"{'entities': [(6, 11, 'MISC')]}"
1429,Und was iſt das?… „Epiſode“— da iſt ja nichts darin?,"{'entities': [(19, 51, 'MISC')]}"
1430,… Staub!,"{'entities': [(0, 8, 'ORG')]}"
1431,Anatol (das Couvert in die Hand nehmend).,"{'entities': [(0, 6, 'MISC')]}"
1432,Staub,{'entities': []}
1433,—,{'entities': []}
1434,?,{'entities': []}
1435,Das war einmal eine Blume!,{'entities': []}
1436,Max.,"{'entities': [(0, 3, 'MISC')]}"
1437,Was bedeutet das: Epiſode? Anatol.,"{'entities': [(18, 25, 'MISC'), (27, 33, 'PER')]}"
1438,Ach nichts;,"{'entities': [(0, 3, 'PER')]}"
1439,ſo ein zufälliger Gedanke.,{'entities': []}
1440,"Es war nur eine Epiſode, ein Roman von zwei Stunden… nichts!","{'entities': [(51, 52, 'MISC')]}"
1441,…,"{'entities': [(0, 1, 'MISC')]}"
1442,"Ja, Staub!","{'entities': [(4, 10, 'ORG')]}"
1443,—,{'entities': []}
1444,"Daß von ſo viel Süßigkeit nichts Anderes zurückbleibt, iſt eigentlich traurig.","{'entities': [(33, 40, 'ORG')]}"
1445,—,{'entities': []}
1446,Nicht?,{'entities': []}
1447,Max.,"{'entities': [(0, 3, 'MISC')]}"
1448,"Ja, gewiß iſt das traurig… Aber wie kamſt Du zu dem Worte?","{'entities': [(42, 57, 'MISC')]}"
1449,Du hätteſt es doch überall hinſchreiben können?,{'entities': []}
1450,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1451,"Jawohl; aber niemals kam es mir zu Bewußtſein, wie damals.","{'entities': [(0, 6, 'PER'), (35, 45, 'LOC')]}"
1452,"Häufig, wenn ich mit Der oder Jener zuſammen war, beſonders in früherer Zeit, wo ich noch ſehr Großes von mir dachte, da lag es mir auf den Lippen:","{'entities': [(21, 35, 'MISC'), (63, 76, 'MISC')]}"
1453,Du armes Kind— Du armes Kind—!,"{'entities': [(0, 14, 'MISC')]}"
1454,Max,"{'entities': [(0, 3, 'PER')]}"
1455,. Wieſo?,"{'entities': [(2, 7, 'PER')]}"
1456,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1457,"Nun, ich kam mir ſo vor, wie einer von den Gewaltigen des Geiſtes.","{'entities': [(58, 65, 'LOC')]}"
1458,"Dieſe Mädchen und Frauen— ich zermalmte ſie unter meinen ehernen Schritten, mit denen ich über die Erde wandelte.","{'entities': [(0, 13, 'ORG'), (18, 25, 'ORG'), (99, 103, 'LOC')]}"
1459,"Weltgeſetz, dachte ich,— ich muß über Euch hinweg.",{'entities': []}
1460,Max.,"{'entities': [(0, 3, 'MISC')]}"
1461,"Du warſt der Sturmwind, der die Blüthen wegfegte… nicht?","{'entities': [(13, 22, 'MISC'), (32, 39, 'MISC'), (48, 49, 'PER')]}"
1462,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1463,Ja,{'entities': []}
1464,!,{'entities': []}
1465,So brauſte ich dahin.,{'entities': []}
1466,"Darum dachte ich eben: Du armes, armes Kind.",{'entities': []}
1467,Ich habe mich eigentlich getäuſcht.,{'entities': []}
1468,"Ich weiß heute, daß ich nicht zu den Großen gehöre, und, was gerade ſo traurig iſt,— ich habe mich darein gefunden.","{'entities': [(37, 43, 'MISC')]}"
1469,Aber damals!,{'entities': []}
1470,Max.,"{'entities': [(0, 3, 'MISC')]}"
1471,"Nun, und die Epiſode?",{'entities': []}
1472,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1473,"Ja, das war eben auch ſo…","{'entities': [(24, 25, 'MISC')]}"
1474,"Das war ſo ein Weſen, das ich auf meinem Wege fand.",{'entities': []}
1475,Max.,"{'entities': [(0, 3, 'MISC')]}"
1476,Und zermalmte. Anatol.,"{'entities': [(15, 21, 'PER')]}"
1477,"Du, wenn ich mir’s überlege, ſo ſcheint mir: Die habe ich wirklich zermalmt.",{'entities': []}
1478,Max.,"{'entities': [(0, 3, 'MISC')]}"
1479,Ah!,{'entities': []}
1480,Anatol,"{'entities': [(0, 6, 'MISC')]}"
1481,.,{'entities': []}
1482,"Ja, höre nur.",{'entities': []}
1483,"Es iſt eigentlich das Schönſte von Allem, was ich erlebt habe… Ich kann es Dir gar nicht erzählen.","{'entities': [(35, 40, 'LOC'), (75, 78, 'PER')]}"
1484,Max.,"{'entities': [(0, 3, 'MISC')]}"
1485,Warum?,{'entities': []}
1486,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1487,"Weil die Geſchichte ſo gewöhnlich iſt, als nur möglich… Es iſt… nichts.","{'entities': [(54, 55, 'PER'), (62, 63, 'MISC')]}"
1488,Du kannſt das Schöne gar nicht herausempfinden.,"{'entities': [(0, 20, 'PER')]}"
1489,"Das Geheimniß der ganzen Sache iſt, daß ich’s erlebt habe.","{'entities': [(4, 30, 'MISC')]}"
1490,Max.,"{'entities': [(0, 3, 'MISC')]}"
1491,Nun—?,"{'entities': [(0, 4, 'MISC')]}"
1492,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1493,Alſo da ſitze ich vor meinem Clavier…,"{'entities': [(36, 37, 'MISC')]}"
1494,"In dem kleinen Zimmer war es, das ich damals bewohnte… Abend…","{'entities': [(53, 60, 'ORG')]}"
1495,Ich kenne ſie ſeit zwei Stunden…,"{'entities': [(31, 32, 'MISC')]}"
1496,Meine grün-rothe Ampel brennt—,"{'entities': [(0, 30, 'MISC')]}"
1497,ich erwähne die grün-rothe Ampel;,"{'entities': [(27, 32, 'PER')]}"
1498,ſie gehört auch dazu.,"{'entities': [(0, 3, 'LOC')]}"
1499,Max.,"{'entities': [(0, 3, 'MISC')]}"
1500,Nun?,{'entities': []}
1501,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1502,Nun,{'entities': []}
1503,!,{'entities': []}
1504,Alſo ich am Clavier.,"{'entities': [(0, 19, 'MISC')]}"
1505,Sie,{'entities': []}
1506,"— zu meinen Füßen, ſo daß ich das Pedal nicht greifen konnte.",{'entities': []}
1507,"Ihr Kopf liegt in meinem Schooß, und ihre verwirrten Haare funkeln grün und roth von der Ampel.","{'entities': [(25, 31, 'PER'), (89, 94, 'ORG')]}"
1508,"Ich phantaſire auf dem Flügel, aber nur mit der linken Hand;",{'entities': []}
1509,meine rechte hat ſie an ihre Lippen gedrückt… Max.,"{'entities': [(44, 49, 'ORG')]}"
1510,Nun?,{'entities': []}
1511,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1512,"Immer mit Deinem erwartungsvollen „Nun“… Es iſt eigentlich nichts weiter… Ich kenne ſie alſo ſeit zwei Stunden, ich weiß auch, daß ich ſie nach dem heutigen Abend wahrſcheinlich niemals wieder ſehen werde","{'entities': [(72, 77, 'ORG'), (157, 162, 'LOC')]}"
1513,"— das hat ſie mir geſagt— und dabei fühle ich, daß ich in dieſem Augenblick wahnſinnig geliebt werde.","{'entities': [(18, 25, 'PER'), (65, 75, 'PER')]}"
1514,Das hüllt mich ſo ganz ein—,"{'entities': [(23, 27, 'LOC')]}"
1515,die ganze Luft war trunken und duftete von dieſer Liebe… Verſtehſt Du mich?,"{'entities': [(57, 69, 'LOC')]}"
1516,(Max nickt.),"{'entities': [(1, 4, 'MISC')]}"
1517,—,{'entities': []}
1518,"Und ich hatte wieder dieſen thörichten göttlichen Gedanken: Du armes,— armes Kind!","{'entities': [(60, 70, 'MISC')]}"
1519,Das Epiſodenhafte der Geſchichte kam mir ſo deutlich zu Bewußtſein.,"{'entities': [(56, 66, 'LOC')]}"
1520,"Während ich den warmen Hauch ihres Mundes auf meiner Hand fühlte, erlebte ich das Ganze ſchon in der Erinnerung.","{'entities': [(35, 41, 'LOC')]}"
1521,Es war eigentlich ſchon vorüber.,{'entities': []}
1522,"Sie war wieder Eine von Denen geweſen, über die ich hinwegmußte.","{'entities': [(24, 29, 'ORG')]}"
1523,"Das Wort ſelbſt fiel mir ein, das dürre Wort:",{'entities': []}
1524,Epiſode.,"{'entities': [(0, 7, 'PER')]}"
1525,Und dabei war ich ſelber irgend etwas Ewiges…,{'entities': []}
1526,"Ich wußte auch, daß das „arme Kind“ nimmer dieſe Stunde aus ihrem Sinn ſchaffen könnte— gerade bei Der wußt’ ich","{'entities': [(99, 108, 'MISC')]}"
1527,’s.,{'entities': []}
1528,Oft fühlt man es ja:,{'entities': []}
1529,Morgen Früh bin ich vergeſſen.,"{'entities': [(0, 11, 'PER')]}"
1530,Aber da war es etwas Anderes.,"{'entities': [(21, 28, 'LOC')]}"
1531,"Für Dieſe, die da zu meinen Füßen lag, bedeutete ich eine Welt;","{'entities': [(4, 9, 'PER')]}"
1532,"ich fühlte es, mit welch’ einer heiligen, unvergänglichen Liebe ſie mich in dieſem Momente umgab.","{'entities': [(83, 90, 'MISC')]}"
1533,Das empfindet man nämlich;,{'entities': []}
1534,ich laſſe es mir nicht nehmen.,{'entities': []}
1535,"Gewiß konnte ſie in dieſem Augenblick nicht Anderes denken, als mich— nur mich.","{'entities': [(0, 5, 'PER'), (27, 37, 'PER'), (44, 51, 'PER')]}"
1536,"Sie aber war für mich jetzt ſchon das Geweſene, Flüchtige, die Epiſode.",{'entities': []}
1537,Max.,"{'entities': [(0, 3, 'MISC')]}"
1538,Was war ſie denn eigentlich?,{'entities': []}
1539,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1540,Was ſie war—?,{'entities': []}
1541,"Nun, Du kannteſt ſie.","{'entities': [(5, 20, 'MISC')]}"
1542,—,{'entities': []}
1543,"Wir haben ſie eines Abends in einer luſtigen Geſellſchaft kennen gelernt, Du kannteſt ſie ſogar ſchon von früher her, wie Du mir damals ſagteſt.","{'entities': [(74, 89, 'MISC'), (122, 143, 'MISC')]}"
1544,Max.,"{'entities': [(0, 3, 'MISC')]}"
1545,"Nun, wer war ſie denn?",{'entities': []}
1546,Ich kenne ſehr Viele von früher her.,{'entities': []}
1547,Du ſchilderſt ſie ja in Deinem Ampellicht wie eine Märchengeſtalt.,"{'entities': [(24, 30, 'LOC')]}"
1548,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1549,Ja— im Leben war ſie das nicht.,"{'entities': [(0, 3, 'PER')]}"
1550,"Weißt Du, was ſie war—?","{'entities': [(0, 8, 'LOC')]}"
1551,Ich zerſtöre jetzt eigentlich den ganzen Nimbus.,"{'entities': [(41, 47, 'MISC')]}"
1552,Max.,"{'entities': [(0, 3, 'MISC')]}"
1553,Sie war alſo—?,{'entities': []}
1554,Anatol (lächelnd).,"{'entities': [(0, 6, 'MISC')]}"
1555,Sie war— vom— Max.,"{'entities': [(4, 13, 'MISC')]}"
1556,Vom Theater—?,"{'entities': [(4, 12, 'LOC')]}"
1557,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1558,Nein— vom Circus.,"{'entities': [(0, 16, 'PER')]}"
1559,Max.,"{'entities': [(0, 3, 'MISC')]}"
1560,Iſt’s möglich!,{'entities': []}
1561,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1562,Ja— Bianca war es.,"{'entities': [(0, 3, 'PER')]}"
1563,"Ich hab’ es Dir bis heute nicht erzählt, daß ich ſie wieder traf— nach jenem Abend, an dem ich mich um ſie gar nicht gekümmert hatte.","{'entities': [(12, 15, 'PER'), (60, 65, 'PER')]}"
1564,Max.,"{'entities': [(0, 3, 'MISC')]}"
1565,"Und Du glaubſt wirklich, daß Dich— Bibi geliebt hat—?","{'entities': [(4, 6, 'LOC'), (29, 39, 'MISC'), (48, 52, 'ORG')]}"
1566,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1567,"Ja, gerade Die!","{'entities': [(11, 15, 'ORG')]}"
1568,Acht oder zehn Tage nach jenem Feſte begegneten wir uns auf der Straße…,"{'entities': [(31, 36, 'PER')]}"
1569,Am Morgen darauf mußte ſie mit der ganzen Geſellſchaft nach Rußland.,"{'entities': [(3, 9, 'LOC'), (60, 67, 'LOC')]}"
1570,Max.,"{'entities': [(0, 3, 'MISC')]}"
1571,Es war alſo die höchſte Zeit.,"{'entities': [(24, 28, 'MISC')]}"
1572,Anatol.,"{'entities': [(0, 6, 'MISC')]}"
1573,Ich wußt’ es ja;,{'entities': []}
1574,nun iſt für Dich das Ganze zerſtört.,"{'entities': [(12, 16, 'LOC')]}"
1575,Du biſt eben noch nicht auf das wahre Geheimniß der Liebe gekommen.,"{'entities': [(38, 47, 'LOC')]}"
